	fold_change	P-value	std_error	-log10(P-value)	protein
0					Afg2b
1					Krt24
2					Slc9a6
3	0.7106275999984699	0.25599286425346474	0.5365910900640241	0.5917721403855579	Cul4b
4	-0.3729603405164312	0.04592297590214366	0.1303993115576428	1.33796997653336	Arfgef2
5	0.15236216074153558	0.32036550699360866	0.13442711223511203	0.49435424954394375	Kiaa1522
6	-0.6618469457339914	0.5146020164052102	0.9267797010107915	0.28852851639240296	Itgb4
7					Camta1
8	0.1044680571120439	0.6723431455018861	0.22932013198445766	0.17240901837170222	Ttc39a
9					Pusl1
10	-0.6889723092479052	0.6751342101314057	1.526513144758958	0.1706098850568508	Ddi2
11	-0.11596093659274942	0.820893315094457	0.47975956003550224	0.08571328097604201	Elapor1
12	-0.12237504942920685	0.7777803847199573	0.40536170575536246	0.10914301376673204	Ckap5
13					Lzts3
14					Ndor1
15					Fggy
16	0.3093631999839932	0.3519403463507835	0.2939260484434102	0.4535309429030814	Focad
17					Slc35d1
18	-0.6473946083817419	0.41942187814754955	0.7200313050766682	0.37734891933815806	Rap1gap
19					Shroom2
20	0.47500170876802905	0.4918453990181381	0.6284895397854714	0.3081713868761123	Dnajc25
21	-0.031354899335261255	0.8943085044674348	0.22157489037528305	0.04851263928492369	Ubr4
22					Klhdc7a
23					Skt
24	0.005923051173253646	0.959016776923717	0.10832539025881299	0.01817379526764512	Upf2
25	-0.044256107706376335	0.975995515956513	1.382449877997984	0.01055217762000541	Dhtkd1
26	-0.6148533900252721	0.44317950101958176	0.7233053120697408	0.353420335824683	Rabgap1
27	-0.21966321473564937	0.2955853480667361	0.18271681295330175	0.5293170973796268	Arhgef10l
28	0.14344616260090942	0.3311879701993096	0.1298265153738766	0.47992544655787567	Mocs3
29					Las1l
30					Arid1a
31					Trmt1l
32	0.1520211220241237	0.7954411087091963	0.5486347080033086	0.09939196826049641	Tbc1d8b
33					Ralgapa2
34	0.1479997380130379	0.5829655371552007	0.2481174039368629	0.23435711842403367	Ttc38
35					Exoc6b
36					Armt1
37					Dennd4c
38					Itih4
39					Thada
40					Tmem238
41	-0.05637402926537016	0.8859713948981222	0.3689966992937042	0.05258029982677225	Nfx1
42					Usp24
43					Otud3
44					Tmem245
45	0.06678390412968126	0.22848619927938024	0.047013284043497035	0.6411400264817276	Thoc2
46	0.23839213519649516	0.4698689406388099	0.2989580207177136	0.32802326184018843	Cad
47	0.2207724886272085	0.5422224408465217	0.33180844582168323	0.26582251232887455	Gnai1
48					Trappc11
49					Plxnb2
50					Dock5
51	0.19844095905583017	0.27709925110242306	0.15785050668544717	0.5573646479547754	Rbm25
52	0.28090295552767497	0.4627904104944213	0.346306892865967	0.3346156486669278	Xpnpep3
53					Pdzd8
54	1.5090921961469612	0.25099648513075806	1.125323567188216	0.6003323601883027	Osbpl8
55					Tmf1
56	-0.3262349451186748	0.7015919249102952	0.7922032173328097	0.15391541819828955	Safb
57					Ccdc6
58					Tent5a
59	0.0029238039790415726	0.9908135174975752	0.23869685073610458	0.0040080770412266225	Pdia2
60	0.010246363340418979	0.9140993491164928	0.08921617949915776	0.03900660029649579	Gls
61	0.926927312715447	0.17609988104391028	0.5647860897556712	0.7542409374000757	Fga
62	-0.023880319484498536	0.8719648872600267	0.13903221351024148	0.059501003113583646	Gcn1
63					Rpl3l
64	-0.16469132157678895	0.5283884495985938	0.23883480674188998	0.2770466844913128	Ascc3
65					Tns1
66					Tex264
67	-0.7603158397081138	0.22788007631373733	0.5343877553658163	0.6422936437764009	Irf2bp2
68	0.005458681010920979	0.9671981924726452	0.12476077109777198	0.01448452376834492	Pi4ka
69	-1.372340655486183	0.3360351871760852	1.2562495564108975	0.4736152440497676	Acacb
70					Rnf213
71	-0.47616094907749484	0.6199669257476211	0.8872855163432776	0.2076314788056845	Dsp
72	0.05217468907375772	0.8607417480267194	0.27896693156214697	0.06512713220579189	Nolc1
73					Myo1e
74					Ccdc85c
75	0.32321931703917917	0.44765580885399436	0.38430119807177077	0.3490557756592464	Numa1
76					Tsc22d2
77					Dnajc21
78	0.9150040683975302	0.1651474816744993	0.5395403541758652	0.7821280444564144	Rap1gds1
79					Smim13
80	0.2739870107178287	0.22562761813985363	0.1914412037836142	0.6466077412506802	Helz2
81	0.31582577664625133	0.19217648673393625	0.2015454181536978	0.716299750415599	Sec16a
82	0.18276184977535637	0.7648438597480842	0.57077055193734	0.11642721552744814	Skic3
83	-1.1458856803633832	0.08870139569986325	0.5117407011762231	1.0520695465721046	Farp1
84	-0.1302900020771629	0.8524959146015103	0.6571025616965749	0.0693076935909155	QNG1
85					Nccrp1
86	0.10939205022186232	0.7575408127718827	0.3308927931831414	0.12059396443074327	Arfgef1
87	-0.05629955440998591	0.934725032810508	0.6458517812913568	0.02931612634217011	Atp2b1
88	0.012256898868904798	0.825730146742883	0.052151296781541255	0.083161859372746	Trip12
89	0.4190383480031481	0.5224923789022681	0.5986143589594339	0.2819200398098832	Arfip1
90	-0.2935962688439031	0.7530251102610918	0.8710872908959746	0.1231905416399277	Hk2
91	-0.14496180080099627	0.7712780544945741	0.46599705878453385	0.11278902562891985	Capn2
92	0.7184571799428672	0.5455633133972386	1.0892604006903384	0.2631548416595506	Bin1
93	0.44360945132067586	0.0064993709754320615	0.08524790442094093	2.1871286733752995	Sec22b
94	0.8047285839214152	0.08782252313941658	0.3579474681091989	1.0563940897802009	Dpysl2
95					Lgals9
96					Emd
97	0.2092681270456599	0.49714044333693097	0.2805330580497342	0.3035209047274384	Gtpbp1
98	0.1210413898761532	0.7804219160645396	0.4059510619703481	0.107670543106006	Alyref
99	0.5078124857283337	0.25636737031873974	0.3838053659460146	0.5911372513540543	Endog
100	0.23381295775050248	0.1873213843221698	0.1471702712393041	0.7274126414021398	Metap2
101					Kng1
102					Arg2
103					Akap1
104					Casp6
105	-0.14490225059598383	0.5444235918628046	0.21903408506421615	0.2640630634947199	Dld
106	0.03013298774649821	0.7447661507833467	0.086369335379111	0.12798007002627032	Ube3a
107					Tcof1
108	-0.42792271749274324	0.15572590080909998	0.2450748650990143	0.8076391482349108	Cckar
109	0.3093722058401951	0.4028874030441818	0.33100782316641086	0.3948163113505809	Prkcsh
110					Eef2k
111	0.2130588629399499	0.21490620984610662	0.14470556854209005	0.6677510351231082	Prdx4
112	0.6770543381719787	0.22563296427552268	0.4730805017883379	0.6465974509780034	Diaph1
113					Ercc2
114	0.30253651609950805	0.4906937665140922	0.3991622479524301	0.30918945900650624	RO60
115	0.09182566683513227	0.8531795390096871	0.46530385157993776	0.06895956836763896	Galnt1
116	0.05708360186057848	0.8172392778209259	0.2313305182577355	0.08765076865368446	Faah
117					Aip
118	-1.5035572601275802	0.2586200251338895	1.1427922114972056	0.5873378504206713	Flot1
119	-0.8878542785180057	0.3344876831150121	0.809803543274486	0.4756198696859028	Sdcbp
120	-0.28554408277351273	0.8267487836340864	1.2222561008332582	0.08262643537572653	Atox1
121					Degs1
122					Pex5
123	-1.300458298936558	0.24714363984375828	0.9603679369366813	0.607050561477942	Snap23
124	0.11055604703108235	0.7933842814839883	0.3948892520839106	0.10051640801159105	Psmb1
125	0.8012444108148985	0.10862307179176366	0.3892153118775606	0.9640779197964836	Map2k3
126	-1.2526491122243701	0.37241375763820334	1.2483173510475225	0.4289742837701977	Ndufb11
127	-2.148018787219499	0.12892468724970205	1.1253265617419075	0.8896639134476649	Sypl1
128					Ntn1
129	0.08341488645748851	0.5921073383036444	0.14345161594577802	0.22759955644032676	Gsto1
130	0.2603815949165267	0.7038407647204652	0.6374349019609873	0.15252558350755976	Man2b1
131					Sod3
132	0.10041767137868263	0.3613724525376165	0.09752898633655911	0.44204495683012157	Rpl21
133	-0.9241399755085001	0.1991671531239121	0.6013635757236253	0.7007822843525112	Gclm
134	0.058401262617989946	0.8233149635453352	0.24501288712690344	0.08443399132221778	Vps26c
135	-0.4406295703403338	0.6388639698926255	0.8691889658133198	0.19459160414841886	Agpat1
136	-1.041420658244542	0.5710096279064865	1.6896509276059566	0.24335656896709784	Scarb2
137					Grcc10
138	0.37482519177564166	0.2541862149795613	0.28175225783784513	0.5948480057908359	Phb2
139	-0.15518622628963574	0.3240446438167555	0.13811173168930163	0.4893951526711041	Emg1
140	0.42232832152845434	0.8870669064307766	2.7914295426713314	0.052043622560769005	Atp5if1
141	0.3566355891363853	0.5046282011670936	0.48706279186461604	0.29702848257584313	Bet1l
142	-0.3297490245903003	0.7812538046612212	1.1102816101307136	0.10720785465349979	Gosr2
143	0.043939282071427666	0.9092987312532785	0.36222011629162665	0.04129341488443472	Col15a1
144	0.06195460945852249	0.8802872431339783	0.38607704548574406	0.05537559176710372	Ddt
145					Cpsf2
146					Psmd4
147	0.29949797380728027	0.2746597767654697	0.2368220670929085	0.5612049372589579	Psmd4
148					Exoc7
149	0.005052954083406891	0.981795626034311	0.2081505453592745	0.007978907043028727	Dhx15
150	-0.057347606521388594	0.8388600298744192	0.2643297186097558	0.0763104984375433	Purb
151	0.9723801775605851	0.5737748143679642	1.5895463116978068	0.24125851886637487	Srsf5
152	-0.27227511417124567	0.6470752036124705	0.5509422494563954	0.18904524233605124	Kpna4
153	-0.6097448730828501	0.137968971676442	0.32956897042766864	0.8602185726194778	Kpna3
154	0.006616157417169366	0.9931970531781024	0.7293946486969167	0.002964577670018474	Kpna6
155	0.5865745970264695	0.6699589362105656	1.2774767971512448	0.17395181569273932	Capn1
156	0.37030186185681546	0.2112172585484808	0.24902435583228943	0.675270598514444	Anp32a
157	0.05539544742131197	0.7713729637546083	0.17815222859696608	0.11273558701256557	Exoc4
158					Hax1
159	0.047162008440046366	0.8746791030493695	0.28059857176702885	0.05815124907626942	Pld3
160					Bok
161					Dhodh
162					Ech1
163	-0.19287025927777968	0.8205943357540253	0.796590396439676	0.08587148512594382	Fkbp8
164					Cd151
165	-0.025439158121399394	0.9650514551405732	0.5456803660934852	0.015449530088477303	Psmd14
166					Adam10
167					Npc1
168	-0.7663753205308808	0.5280999919111056	1.1105745258890098	0.2772838391635829	Scamp3
169	1.7319644222346382	0.2594782373033354	1.3192097965650764	0.5858990609963003	Bet1
170					Stag2
171					Anxa3
172					Anxa8
173	0.20294859530806797	0.2633645180802539	0.15608065640741592	0.5794427359799287	Ap1b1
174					Pold2
175	0.5674214545992516	0.21061896980746767	0.3809703914126742	0.6765025158110862	Mgll
176	-0.8131789749898369	0.4203037440780748	0.9062925858085189	0.37643674126935406	Myadm
177	-0.44309757482283063	0.03409835804494838	0.140104773139311	1.4672665333003794	Ndufa1
178	-1.9249708200134705	0.22583067611689453	1.345738051054234	0.6462170652303079	Nudc
179					Phox2b
180					Pnn
181					Sptlc1
182					Ring1
183	0.004926561744644564	0.9834998440412459	0.22390992616303798	0.007225704613004083	Hnrnph1
184	-0.23136238953148291	0.80653930729689	0.8843723145051338	0.09337446209256642	Api5
185	0.08666495710834865	0.7151490490771748	0.221168192966544	0.14560343449857371	Bcat2
186	0.5021235013806389	0.2441660166311681	0.36802216821534206	0.6123147819005018	Timm44
187	0.14471122741204318	0.489219691624576	0.1902391191366654	0.31049607045877375	Cops5
188	0.2291176924457724	0.24155192997396413	0.16681397288188413	0.6169894881973564	Slc1a4
189	-0.5300299437870263	0.5759656388701768	0.8716363728960892	0.23960342507366506	Calu
190					Fxn
191	0.17421148907286899	0.3904419078617204	0.18105717829998016	0.40844357375048856	Aldh1a7
192					Rab33b
193	-0.12222950183677894	0.2937752844077496	0.10123034854211026	0.531984744613982	Gamt
194					Mrpl23
195					Nthl1
196	0.3996912143033793	0.4582112681615881	0.4873640683374222	0.33893423500645026	Sdc4
197	0.2982229788313202	0.3606481131221766	0.28915546785925667	0.4429163356568359	Zw10
198	0.8893575976165138	0.29583072465251153	0.7402068923089854	0.5289567226511712	Cavin1
199	0.17422855195387954	0.28460842465217656	0.14114197361145325	0.5457522485742917	Ddost
