	fold_change	P-value	std_error	-log10(P-value)	protein
125	-0.3418924542352291	0.4545235548781678	0.3990144556020329	0.3424436053165216	Farp1
126	0.7243324041239249	0.3822103006491469	0.709092245473262	0.4176976127943422	QNG1
127	1.6446118022376162	0.09821630720888325	0.6929833197061626	1.0078163987419222	Nccrp1
128	0.5282499472642768	0.3910645545228966	0.5283295881529856	0.4077515460338758	Sipa1l3
129	1.6786631200201425	0.38716509018565654	1.6631573360762884	0.4121038089649771	Arfgef1
130					Kbtbd2
131	-0.48998978467094106	0.5447774641146229	0.7196139178302086	0.2637808662441254	Atp2b1
132					Trip12
133	0.5419956362975055	0.06571821713850295	0.1909326121336503	1.182314226999192	Poglut3
134					Zbtb11
135					Adgrf5
136	-0.5477474155848556	0.5284725085044026	0.7705795298296677	0.27697760006020633	Arfip1
137	0.21456272697303627	0.24928886048175974	0.15053416560900698	0.6032971275908551	Aldh3b3
138					Hk2
139	-1.1268843099703911	0.4524027618602348	1.3083203949548565	0.344474752426957	Capn2
140	0.2948434817444763	0.02007619952953464	0.06502522248144256	1.697318496684678	Cacna2d1
141	0.5309780766840474	0.3336299622988269	0.46186552332783615	0.4767349536076704	Bin1
142	-0.14347535768013442	0.7657542877260293	0.439938185568029	0.11591056274791137	Sec22b
143	-0.028127188103450163	0.9517083430459482	0.4277467711623717	0.02149612347730229	Dpysl2
144					Lgals9
145	-0.07129983581174243	0.9194758926703062	0.6491581187418358	0.036459652850599975	Rundc3a
146	0.05204895844491353	0.9581148359610168	0.9128254289592056	0.01858243493470849	Emd
147	-0.5039341609700663	0.3196534318775495	0.4234920196130359	0.49532062851314074	Gtpbp1
148	-0.21703731095154966	0.7648089219971349	0.6626984082781241	0.11644705437274835	Alyref
149	-0.09136316399269587	0.8204434812106884	0.3690385427697531	0.08595133130041767	Pten
150	-0.6199752482048446	0.19493301675166083	0.3728430027201888	0.7101145960868134	Stxbp1
151					Endog
152	0.3777254531122508	0.4788943262213638	0.46827164996215215	0.3197603083016187	Mttp
153					Mlx
154					Map3k4
155	-0.8580942116871149	0.6330078384533975	1.6199181671049545	0.19859091213749447	Metap2
156	-2.228117237897597	0.18485246869442373	1.299184711487218	0.7331747450735279	Kng1
157	-0.28533949335972886	0.4158159073443194	0.30300290360235943	0.3810989004309238	Dld
158	0.9952760077848852	0.4851763572171361	1.2534129291144571	0.31410037058433965	Ube3a
159	0.06749002676922675	0.9089069352173931	0.542770139370137	0.041480582774391365	Tcof1
